"","5449-D1A","5449-D1B","5449-D3A","5449-D3B","5449-D5A","5449-D5B"
"Pseudomonadaceae",0.00197409006785935,0,0.294879754956745,0.239251952322236,0.288384417072472,0.177983167243249
"Pseudomonadaceae",0.00394818013571869,0.00315626888724733,0.242228569063289,0.187546239210851,0.243769693497565,0.142613724376517
"Pseudomonadaceae",0.000987045033929673,0.00335773285877376,0.199677138954427,0.166091245376079,0.195216270409625,0.124799917385243
"Pseudomonadaceae",0,0,0.139865060639927,0.115125359638307,0.141721569750788,0.0845768575411783
"Acetobacteraceae",0,0,0.0019454447617865,0.0395807644882861,0.00264967058149527,0.0796199721175195
"Aeromonadaceae",0.0928439235040099,0.0696393794909677,0,0,0,0
"Acetobacteraceae",0,0,0,0.0322235922729141,0.00465482669722143,0.0632519233748128
"Aeromonadaceae",0.07347316471314,0.0582902424283124,0,0,0,0
"Acetobacteraceae",0,0,0,0.0295519934237567,0.00179031796046978,0.058759745959622
"Aeromonadaceae",0.0644663787785318,0.0522463232825196,0,0,0,0
"Moraxellaceae",0.0942011104256632,0,0.00211101452874705,0,0,0
"Enterobacteriaceae",0,0,0.00695393021234323,0.0157007809288944,0.0118877112575193,0.0433727474570145
"Planococcaceae",0.081122763726095,0,0,0,0,0
"Moraxellaceae",0.0714990746452807,0.00335773285877376,0.00211101452874705,0.0010275380189067,0.000930965339444285,0
"Enterobacteriaceae",0,0,0.00517405521751728,0.0132346896835183,0.00852191349183615,0.035317808643569
"Aeromonadaceae",0.0421344848858729,0.0349204217312471,0.000455316859141521,0,0,0
"Enterobacteriaceae",0,0,0.0052982325427377,0.0117550349362926,0.00845030077341736,0.0305674601125626
"Planococcaceae",0.0690314620604565,0,0,0,0,0
"Enterobacteriaceae",0.00838988278840222,0.0415015781344436,0.00149012790264498,0.00698725852856556,0.00401031223145231,0
"Planococcaceae",0.0612584824182603,0,0.000579494184361935,0,0,0
"Enterobacteriaceae",0.0137569401603948,0.0186689946947821,0.00397367440705327,0.00484997944923962,0,0.00485361697733258
"Enterobacteriaceae",0.0027143738433066,0.0456651668793231,0.00124177325220415,0.00147965474722565,0,0
"Enterobacteriaceae",0.00616903146206046,0.0314283795581224,0.00144873546090484,0.00632963419646527,0,0
"Streptococcaceae",0,0.0422402793633739,0,0.00402794903411426,0,0
"Planococcaceae",0.0428130783466996,0,0,0,0,0
"Enterobacteriaceae",0.0105490438001234,0.0144382512927272,0.00384949708183286,0.00448006576243321,0.00529934116299055,0
"Enterobacteriaceae",0.00579888957433683,0.0264589349271372,0.00153152034438512,0.00521989313604603,0,0
"Enterobacteriaceae",0.00246761258482418,0.0353233496742999,0.00132455813568442,0.00160295930949445,0,0
"Enterobacteriaceae",0.0013571869216533,0.0335773285877376,0.00107620348524359,0.0011508425811755,0,0
"Enterobacteriaceae",0.00296113510178902,0.0338459472164395,0,0.000863131935881628,0,0
"Enterobacteriaceae",0,0,0.00322861045573078,0.00374023838882039,0.00794901174448582,0.0149739247173026
"Streptococcaceae",0.000185070943861814,0.0352561950171244,0,0,0,0
"Enterobacteriaceae",0.00913016656384948,0.0126922302061648,0.00343557266443147,0.00378133990957665,0,0
"Streptococcaceae",0,0.0329729366731583,0,0,0,0
"Enterobacteriaceae",0,0,0.00331139533921106,0.00349362926428278,0.00637353193927242,0.0116177002117003
"Enterobacteriaceae",0.00283775447254781,0.0227654287824861,0,0.0010275380189067,0,0
"Enterobacteriaceae",0.00178901912399753,0.0233026660398899,0,0.000739827373612824,0,0
"Enterobacteriaceae",0.00974706971005552,0.00396212477335303,0.00331139533921106,0.0019317714755446,0.00250644514465769,0
"Enterobacteriaceae",0.0215916101172116,0,0.00115898836872387,0,0,0
"Aeromonadaceae",0.0151758173966687,0.00792424954670606,0,0,0,0
"Streptococcaceae",0,0.0239742126116446,0,0,0,0
"Enterobacteriaceae",0,0,0.00343557266443147,0.00254829428688861,0.00623030650243483,0.00609283833324728
"Lactobacillaceae",0,0,0,0.00464447184545828,0.0110283586364938,0.00304641916662364
"Enterobacteriaceae",0,0,0.00351835754791175,0.00328812166050144,0.00587224291034088,0.00366602984458099
"Enterobacteriaceae",0.00308451573103023,0.0139010140353233,0.000910633718283042,0.00119194410193177,0,0
"Enterobacteriaceae",0,0.0184003760660802,0,0.00119194410193177,0,0
"Enterobacteriaceae",0,0,0.00264911627136885,0.00209617755856967,0.00572901747350329,0.00521505653947436
"Aeromonadaceae",0.0119679210363973,0.00658115640319656,0,0,0,0
"Enterobacteriaceae",0,0,0.0022765842957076,0.00143855322646938,0.0115296476654254,0.00191046625703516
"Aeromonadaceae",0.0115360888340531,0.00631253777449466,0,0,0,0
"Enterobacteriaceae",0.00715607649599013,0.00335773285877376,0.00231797673744774,0.00209617755856967,0,0
"Enterobacteriaceae",0.00222085132634176,0.0122893022631119,0.000662279067842212,0.0010275380189067,0,0
"Enterobacteriaceae",0,0.0172587468940971,0,0,0,0
"Aeromonadaceae",0.0105490438001234,0.00537237257403801,0,0,0,0
"Enterobacteriaceae",0.0154225786551511,0,0,0,0,0
"Enterobacteriaceae",0.00487353485502776,0.00261903162984353,0.0024835465044083,0.00258939580764488,0,0
"Enterobacteriaceae",0.00832819247378162,0.00369350614465113,0,0.00189066995478833,0,0
"Enterobacteriaceae",0,0.0157813444362367,0,0,0,0
"Pseudomonadaceae",0,0.00396212477335303,0,0.00460337032470201,0,0.00304641916662364
"Enterobacteriaceae",0,0,0.00169709011134567,0.00242498972461981,0,0.00666081478804151
"Aeromonadaceae",0.00913016656384948,0.00503659928816063,0,0,0,0
"Pseudomonadaceae",0,0,0.00331139533921106,0.00365803534730785,0.00386708679461472,0
"Enterobacteriaceae",0,0.0110805184339534,0,0.00127414714344431,0,0
"Aeromonadaceae",0.00740283775447255,0.00496944463098516,0,0,0,0
"Enterobacteriaceae",0,0.0108118998052515,0,0.0011508425811755,0,0
"Streptococcaceae",0,0,0.00360114243139203,0.00345252774352651,0,0.000774513347446688
